DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband
S01008163,1.0313348256658175,0.7894359610509765,-0.35256560936551706,0.1785231529163151,-0.7803955691199587,1.0130973817381845,0.703944618194584,-0.5233748249921921,1.1060563615533077,0.7361769026271533,0.9578113682992112,1.0457842384465625,-1.1255113131621717,1.1260851147181634,-0.14837050127904536,-1.1547610058604036,0.7686965815462822,2.815396864697641,-0.8457129887594594,0.06759530014911153,1.3450868353444416,0.90516318776192894,2.2981469828465126,-0.6504827072840198,1.847548663556655,0.5853182976395056
S01008164,-0.29605905242587055,-0.5074945463899133,0.01987866306062059,0.04895638678771973,-0.327353429835175,-0.021517974182041093,0.3111568132688166,-0.673471946574075,0.047729907093026734,-1.3609828966586914,-0.1763462460389084,-0.9426570061934914,-0.9302129165185645,0.4562704082805374,-0.4152716264849258,-0.9130755694697309,-0.7513705885499385,1.5507610431794858,0.004476353050774693,-0.693559862341491,-0.03657204710646838,0.5044093738253278,0.6870552086885242,0.45261742484621426,1.3356469857597038,1.4113482107436144
S01008165,-0.8994199061039105,-0.993843486680247,-0.6300731064673452,-0.9875777422410432,-0.7803955691199587,-0.9620773886549735,-0.7723957520436451,-0.8412275530479442,-0.0720806349213447,-0.9415509368015226,-0.1763462460389084,-0.8432349439614887,0.33034946181744157,-0.15613160903386353,-0.4152716264849258,0.17450889428829616,0.5140049469683599,2.537965508448218,-0.9615476633309219,-0.35247476985066745,1.1867161648372337,0.645309523819771,1.0853876619025964,-0.11041443579966541,1.5369917287580357,1.8243631672956686
S01008166,0.3073018012521695,-0.34537823295980213,-0.009332652423782365,0.30808991904491045,-0.327353429835175,0.5428176745017184,-0.6911293096452105,-0.07308346024654336,-0.1319859059285304,0.7361769026271533,0.050485276828715536,0.11784499094787072,-0.8236865183493253,1.2409104929646135,-0.6821727516908063,-0.9130755694697309,0.8141390456893389,2.727499529101175,-0.9898332483736342,-0.5182913379996213,1.4753003209456195,0.692721857712161,0.7437193205079026,-0.5282281921458182,1.368228924354012,-0.3439653546026167
S01008167,1.5140235086082496,1.113668587911199,-0.14443498653914602,0.6967902174306966,-0.7803955691199587,0.4487617330544251,-0.2983415047194431,-0.6469842192360957,-0.0521122112522828,0.5264609226985688,0.5041483225639634,0.6812366769292193,-1.1255113131621717,2.082963266771915,-0.14837050127904536,-1.0339182876650672,0.8152280420372312,2.3473568187516944,-1.3323785734636757,-1.4589727947734619,1.4754139992757433,0.27491231196947324,-0.08657739683957814,-1.411411864069694,0.7150644148889249,-0.3439653546026167
S01008168,0.9106626549302095,0.9515522744810877,-0.28684014952561043,0.8263569835592919,-0.327353429835175,0.7309295573963048,0.6768558040617724,0.3772079044991054,1.7450459189632888,1.3653248424129067,0.5041483225639634,0.18412636576920585,-0.9834761156031849,1.0495348625538634,1.1861351247503569,-1.1547610058604036,0.9202858131912923,2.269734154054952,-1.2449939698286472,-0.235487751180646,1.2750529700140438,0.16125412941425882,0.45093780500985764,-1.1911289228355,0.9611644531580033,-0.1374578763265895
S01008169,0.3073018012521695,0.465203334190754,-0.43654814138317555,0.30808991904491045,-0.7803955691199587,0.4487617330544251,-0.9078398227077028,-0.48805785520821965,-0.11201748225946852,0.9458928825557378,-0.1763462460389084,-0.08099913351613468,-0.646142521400591,1.3557358712110639,0.652332874338596,-0.6713901330790581,0.4965967726144248,1.734201598982829,-0.6765571266804818,-1.0536641669204492,1.2160166716330878,-0.09431233539908132,0.019654141783454992,-0.7246989904234288,0.660358658993079,-0.1374578763265895
S01008171,0.7899904841946015,1.113668587911199,-0.005681237988231996,0.1785231529163151,0.1256887094496087,0.4487617330544251,0.20280155673757042,1.0923765426245475,-0.3117017189500876,0.9458928825557378,0.9578113682992112,0.18412636576920585,-0.27330012780825125,0.16920696266441196,0.38543174913271555,-1.0339182876650672,-0.22669391729066676,1.4313754943636485,1.8392271072290822,0.9241567915098623,0.35687351873871886,1.3112082637942668,-0.5268907440737735,0.19119758616314544,-0.023453993826620494,-0.3439653546026167
S01008172,-0.05471471095465454,0.14097070733053155,-0.6410273497739962,-0.08061037934087564,-0.7803955691199587,-0.5858536228658006,-0.7317625308444278,-0.8412275530479442,0.2673825674527077,-0.3124029970157691,1.411474414034459,-0.2798432579801401,0.7919638538841477,0.07351914745903682,-0.14837050127904536,0.17450889428829616,-0.027967095198764103,1.7964639861878202,1.7351122465149003,0.8889991090317934,0.27411573151791235,1.4333363607829626,0.045491742149279805,0.795268279841392,0.3369257783485482,-0.3439653546026167
S01008173,-0.5374033938970866,-0.8317271732501358,-0.9331405046180258,-0.8580109761124478,-0.327353429835175,-0.2096298570766276,-0.8130289732428624,-0.6381549767901026,-0.29173329528102565,-0.10268701708718465,0.5041483225639634,-0.4124060076228103,0.36585826120718745,-0.443195054649989,-0.9490738768966868,-0.18801926029771285,0.19769036131907963,1.7692219763768529,1.5678184871312413,0.023480045867014476,0.09455967359117853,1.4689139245074556,0.3665797380657668,0.8841939239203443,-0.19534341121687734,-0.3439653546026167
S01008174,-0.41673122316147854,-0.021145606099579675,-0.23937176186345563,-0.3397439115980664,-0.327353429835175,-0.2096298570766276,-0.59631846018037,2.0371054843458105,-0.15195432959759234,-0.5221189769443536,1.411474414034459,0.5155332398758815,-0.397580925672365,-0.003031104705263303,0.11853062392683511,0.053666176092959816,0.11456610172548867,1.6306492157237886,1.64000502177353,-0.2166056132618114,0.09393516894173148,1.5021001870069501,0.7168607602083106,1.1293019456811366,0.17345802202995528,-0.3439653546026167
S01008175,0.6693183134589935,0.6273196476208652,-0.1955547886368512,0.30808991904491045,1.031772988019176,0.1665939087125454,0.026724264874295408,1.6574480591681067,0.7466247355101935,0.10702896284139983,0.7309798454315873,0.4161111776438788,-1.3385641095006517,0.09265671050011184,1.7199373751621179,-0.6713901330790581,0.004606254011321567,1.4025322987221989,1.8026654001703795,0.4983099835791204,0.20178992530209455,1.461044097597633,0.3986933457154352,0.8789777714995568,0.15711829267166608,-0.3439653546026167
S01008176,-0.5374033938970866,-0.1832619195296909,0.9254294430771122,-0.3397439115980664,-0.327353429835175,-0.773965505760387,-0.420241168317095,0.059355176443353336,-0.3516385662882114,0.10702896284139983,0.7309798454315873,-0.5449687572654806,-0.024738532080025265,-0.7302585002661144,0.38543174913271555,0.5370370488743051,-0.23258131715778263,0.8694233397637158,-0.2975220012556468,0.3782321653846929,0.12872632969274103,-0.7864292589931781,0.13867758142558992,-0.4526925739467635,0.21680519118832675,-0.034204137188575914
