DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,Health_PC1,Health_PC2,Education_PC1,Education_PC2,Education_PC3,Access_PC1,Access_PC2
S01008163,1.0313348256658175,0.7894359610509765,-0.35256560936551706,0.1785231529163151,-0.7803955691199587,-1.7877135746918822,-0.5496341385639272,-1.701216779397835,0.9597822198527323,0.2734339999231408,-3.1769204094015837,-2.2098320146257278
S01008164,-0.29605905242587055,-0.5074945463899133,0.01987866306062059,0.04895638678771973,-0.327353429835175,1.1452768650742504,-0.004013228899544632,-1.0007873140669137,0.944894017948618,0.22524627420123353,-1.6773307107036661,-0.2247514241070404
S01008165,-0.8994199061039105,-0.993843486680247,-0.6300731064673452,-0.9875777422410432,-0.7803955691199587,1.884576127736415,-0.022391659282465167,0.5255216728991605,0.2136277394954025,0.012196709145781363,-2.6848693787731324,-1.9182991435692722
S01008166,0.3073018012521695,-0.34537823295980213,-0.009332652423782365,0.30808991904491045,-0.327353429835175,-0.28167319682526926,0.005530167691503315,-1.2534734152989129,1.2781369393481892,0.4601824412481803,-1.9592160346532541,-2.2187438708029243
S01008167,1.5140235086082496,1.113668587911199,-0.14443498653914602,0.6967902174306966,-0.7803955691199587,-0.4210893286815832,-0.4249497143444062,-2.1618055152570004,1.0374606345799267,0.6096954834749333,-0.5141734875462359,-2.6935928728190777
S01008168,0.9106626549302095,0.9515522744810877,-0.28684014952561043,0.8263569835592919,-0.327353429835175,-2.0017204877472805,0.06560716757845547,-2.1675017101860936,-0.1707086080533115,-0.2844574656887385,-1.1459169651065255,-2.356491361182024
S01008169,0.3073018012521695,0.465203334190754,-0.43654814138317555,0.30808991904491045,-0.7803955691199587,0.03840173436027541,0.22746271110543903,-1.687723793220571,0.04603792259517486,0.09217678471889286,-0.6439823983867892,-1.6229846199392715
S01008171,0.7899904841946015,1.113668587911199,-0.005681237988231996,0.1785231529163151,0.1256887094496087,-1.2394339256835867,-0.8596923008538615,-0.9056378032378154,0.26601931240243737,-0.6038371758838871,-1.4699579678667651,0.6495596945465277
S01008172,-0.05471471095465454,0.14097070733053155,-0.6410273497739962,-0.08061037934087564,-0.7803955691199587,0.836560505432712,-1.3918129010481828,0.5286945428095317,0.0018918179683446547,-0.29876193473081114,-2.18634548321345,0.7834903688930343
S01008173,-0.5374033938970866,-0.8317271732501358,-0.9331405046180258,-0.8580109761124478,-0.327353429835175,0.8957228860663888,-0.6066453458619376,0.7576636816775335,0.806330706780092,-0.14670463703476871,-1.8990543615217752,0.8405980495450226
