DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband
S01009758,-1.458391975499209,-1.0819153969777064,-0.9255579830829844,-0.8967297198882425,1.892378918606901,-1.0216088801798124,-0.9618970106867318,-0.8144064066485245,0.7428254114363394,0.040096445503170555,1.1562781569807898,-0.8448675271213145,1.2530675852506103,-0.7611090522433664,-1.2455609262855534,0.5661415740650173,-0.9522530450760787,0.7314818365928699,0.550419484447737,2.0628050396158413,-0.3172658004995555,0.22211434656482557,1.467161889389005,1.2683943778631186,0.19579421036694006,-0.29735152367553236
S01009759,2.012680669655723,1.3428926473025395,0.43552314636663003,0.37486923092938745,-0.013141520268103422,1.165771609922364,0.7142584088154021,0.445169226337892,0.6087740047572685,0.6672228740471442,0.24384097188030254,0.40771369310500494,-0.043888237437861584,0.6752801823277333,1.3000161184951011,0.05529299729416338,0.4491289380274035,-0.7364054556952105,-0.7088455080160576,-0.31504840031587,-0.44477131914333906,1.243891563227624,-0.7905938459839403,-0.7971856447871759,-0.9005489490761077,-0.29735152367553236
S01009760,0.19449976028885382,0.35092572009698436,-0.25352417541723726,-0.20313029216953524,-0.7753496958181052,0.5307256611830224,-0.6953953121884846,-0.2440325351075057,0.23640898620429385,0.8240044811831375,-0.21237762066994106,-0.1358592892573601,-1.127911014610315,0.717526924521001,1.3000161184951011,-0.28527272055307257,-0.5612459326335647,-0.4793937421447977,-0.6521332664044049,0.4505214041129918,-0.37242004518898,0.6062504583675788,-0.22022424646562438,-0.38505633027116976,-0.637174555375397,-0.29735152367553236
S01009761,-0.6319461076051776,-0.7512597545758547,-0.9198868117102776,-0.8967297198882425,-0.013141520268103422,-0.5276842533825468,-1.1372270754882103,-0.6599301497728319,-0.13595603234868087,0.19687805263916394,0.47195026815542435,-0.5376306240469343,0.5561957999254623,-0.09924342454884008,0.7343323307660669,1.0769901508358712,-0.5299314666882992,0.36614585211718453,0.18510546520872526,1.4623109657830957,-0.15451895847397465,0.5731462309505044,0.7527004465831317,0.520267428531112,0.11101120254693819,-0.29735152367553236
S01009762,0.3597889338676601,-0.20016701723943517,-0.19114129031746327,0.1436694216898184,-0.7753496958181052,0.10736169535679475,-0.09927309186345784,-0.4816883149162635,-0.07637762938020493,0.35365965977515734,0.7000595644305462,-0.6321650557621282,-0.1406759853996875,0.9146783880895833,-0.39703524469200185,-0.7961212973239266,-0.42528908282231087,-1.2929539273526303,-1.7493450135228155,-0.6172639118909999,-0.23497203246203038,0.5397670261397128,-1.2718342329600405,-1.7210085312041838,-0.7705664691399594,-0.29735152367553236
S01009763,-1.2931028019204027,-1.1921339444449903,-1.0106255536735853,-1.3591293383673806,-0.7753496958181052,-1.5155335069770781,-1.1863194936326242,-0.9569998745337792,-1.5360485021078658,-1.37093801872077,0.24384097188030254,-1.5538757649852688,1.2724251348429751,-1.169494226778287,-1.2455609262855534,1.7581215865303432,-0.45295918198634766,1.2733690476488877,1.432962932985096,1.3236406670039578,0.09242080119347387,0.19023313659800187,2.4151828669206403,2.2870134007011287,0.8375206793126846,-0.29735152367553236
S01009764,0.6077226942358696,0.35092572009698436,-0.20248363306287673,-0.3187301967893198,-0.7753496958181052,0.46016500021198453,0.05501736516184319,0.23722041900522894,0.2513035869464128,0.35365965977515734,0.47195026815542435,-0.15949289718615858,0.42069295277890495,0.604868945338954,-0.11419335082748466,0.05529299729416338,-1.4433182923176935,1.482581253101269,1.7244974218663167,-0.3313260380402915,-0.9943126411864992,1.6971697841769613,0.7853176641613856,0.6353071851132235,-0.44829153381617753,-0.29735152367553236
S01009765,-0.38401234723696814,-0.5308226596412868,-0.7837786987653163,-0.0875303875497507,-0.3942456080431043,-0.31600227046943297,0.5319151414218646,-0.7906408286676487,0.4300387958518407,0.35365965977515734,0.24384097188030254,0.26591204553221404,1.0207769901422272,0.06974354422423049,-0.679877138556519,1.5878387276067252,-1.0895709011331804,1.384891188589892,1.8656342433844226,-0.6852158437044844,-0.704447997460222,1.9643553121426691,1.3365994410244368,1.3411553110696683,0.0489181490946938,-0.29735152367553236
S01009766,-1.2104582151309995,-1.0819153969777064,-0.3811255313031386,-0.5499300060288889,0.3679625675068975,-0.8804875582377365,-0.6883821095964254,-0.6421059662871751,-0.5530048531280125,-0.11668516163282283,-1.35292410204555,-0.726699487477322,0.7304137462567494,-0.5076285990837607,-0.9627190324210362,1.9284044454539613,-0.36260690253464445,1.4275398666700703,1.6160343189080062,1.8763379061791723,0.13848998579767025,0.5155324527789251,1.4570551432754135,2.37577317054202,-0.02205612051108828,-0.29735152367553236
S01009767,-0.5493015208157744,-0.5308226596412868,0.9714488410874157,-0.43433010140910433,-0.7753496958181052,0.10736169535679475,-0.414867208506119,-0.2856222965740383,2.79828031384876,0.5104412669111508,-0.6685962132201847,-0.5376306240469343,0.1884023576705217,0.8161026563052921,-0.679877138556519,1.4175558686831073,-1.2567887679851213,1.6455083686755425,0.9617771928195962,-0.24631529704075136,-0.7095726128348833,1.5728983094491829,1.6637333863806283,1.4110001711368716,0.1870875427523369,-0.08914562782224209
S01009768,0.02921058671004755,0.13048862516241655,-0.664684099938475,0.1436694216898184,-0.7753496958181052,0.1779223563278327,-0.35174838517758683,-0.33909484703100884,0.1619359824936989,-0.43024837590480963,-0.21237762066994106,-0.5376306240469343,-0.043888237437861584,0.3513884921793481,1.017174224630584,0.39585871514139936,-0.4947225209771396,0.7157869517209154,0.22513892284646003,2.0177495448752003,-0.39467356456222624,0.02147481390621936,1.0852916380601638,0.4611136677509334,0.07849602613770022,-0.29735152367553236
S01009769,-1.1278136283415965,-1.1921339444449903,-0.5115624728753934,-0.8967297198882425,-0.3942456080431043,-0.9510482192087745,-0.8987781873581996,-0.8857031405911518,1.6662906574477168,-0.43024837590480963,-1.35292410204555,-0.23039372097255403,0.7110561966643828,-0.9019315262209253,-0.11419335082748466,1.2472730097594893,-0.1210327898203245,1.3179241274947382,1.6501780118707545,2.305223426411189,0.23149674661262507,0.24156779655061494,1.0084160267511877,1.6599592119529443,-0.20980457049048234,-0.08914562782224209
S01009770,-1.0451690415521933,-0.9716968495104226,-0.8546683409241503,-0.5499300060288889,-1.1564537835931061,-0.9510482192087745,-0.8426725666217264,-0.9569998745337792,-0.6870562598070834,-0.587029983040803,1.6124967495310334,-0.726699487477322,1.4853581803589937,-0.5357930938792724,-0.9627190324210362,0.5661415740650173,-0.7317929977307189,2.3299368657407054,1.97891149393337,0.6216785059963557,-1.0604908451630999,2.0961922951500305,2.9691653423343842,2.4306857008972615,-0.4455021726155404,-0.29735152367553236
S01009771,-0.9625244547627901,-1.0819153969777064,-1.0191323107326453,-1.2435294337475962,-1.1564537835931061,-0.8099268972666986,-1.0390422391993823,-0.8559961681150571,-0.5381102523858936,-0.7438115901767964,0.24384097188030254,-0.9157683509077099,1.0401345397345938,-0.7047800626523429,-1.2455609262855534,1.4175558686831073,-0.8448990605230815,2.198121742518268,2.193528068723662,0.9258651899922297,-1.4873167573631638,2.184037422622621,2.8962894974590268,2.4712439039917706,-0.4833147066609,3.4503546016836926
