DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,Health_PC1,Health_PC2,Education_PC1,Education_PC2,Education_PC3,Access_PC1,Access_PC2,Access_PC3,Access_PC4
S01009758,-1.458391975499209,-1.0819153969777064,-0.9255579830829844,-0.8967297198882425,1.892378918606901,-1.1320662010957288,-1.1466733871281038,-1.90138058459624,0.5244580221185972,-0.21794776598201895,1.926427514377744,-1.5215293234807052,-0.2198178832927566,0.3604947574174282
S01009759,2.012680669655723,1.3428926473025395,0.43552314636663003,0.37486923092938745,-0.013141520268103422,1.6644098034173724,-0.010313479574113077,0.9412551513014283,-0.9952761419546255,-0.01534531293522949,-1.5665077508890668,0.6208520684674506,0.25412816615859884,0.8206226852449781
S01009760,0.19449976028885382,0.35092572009698436,-0.25352417541723726,-0.20313029216953524,-0.7753496958181052,0.18964271937280858,0.3086139310211602,1.6991852339538505,-0.7240416255531643,0.32476166497975023,-0.9595322405171269,-0.11652148480845881,0.29474161952760103,0.6419021275369579
S01009761,-0.6319461076051776,-0.7512597545758547,-0.9198868117102776,-0.8967297198882425,-0.013141520268103422,-1.0860798563357743,-0.5459852739706093,-0.5408078247481168,-1.20717909351969,0.26147155926416865,1.0463342788811139,-0.6635300838428696,0.009498231277987466,0.5620611548823301
S01009762,0.3597889338676601,-0.20016701723943517,-0.19114129031746327,0.1436694216898184,-0.7753496958181052,-0.24420789114524158,-0.7059671688378494,0.766356682528037,0.9117323078459177,-0.0594262445052674,-2.8804291242041455,1.1801458391007638,0.7372063996196032,0.6152557763270878
S01009763,-1.2931028019204027,-1.1921339444449903,-1.0106255536735853,-1.3591293383673806,-0.7753496958181052,-3.2370355368092283,-0.7602840968147869,-2.713799528237807,-0.12218080311957474,0.4799825776342891,3.5749721587066676,-1.7151126860354027,-0.11977841702426129,-0.1981079810094187
S01009764,0.6077226942358696,0.35092572009698436,-0.20248363306287673,-0.3187301967893198,-0.7753496958181052,0.5376417044175992,-0.39437815288204925,0.018269988135503554,0.15339426315467547,0.07267562925161877,1.2634066346132296,-2.220167982693827,0.663300300370389,0.9921119324721599
S01009765,-0.38401234723696814,-0.5308226596412868,-0.7837786987653163,-0.0875303875497507,-0.3942456080431043,0.1988721165163627,-0.11767084634915781,-1.5898997894518831,-0.2515152024370945,0.8071816477494661,2.090161188946919,-2.0519912032604544,0.8852630262190829,0.9469747850235577
S01009766,-1.2104582151309995,-1.0819153969777064,-0.3811255313031386,-0.5499300060288889,0.3679625675068975,-1.6526083958361668,1.1467203602293479,-2.0375948812630122,-0.25977834889905976,1.0624917956963202,3.171487913109599,-2.0819719309951186,-0.32810682738464647,0.28809356136455566
S01009767,-0.5493015208157744,-0.5308226596412868,0.9714488410874157,-0.43433010140910433,-0.7753496958181052,0.5250800208094595,1.0432654841849731,-0.6778191250835461,0.05726759540231387,1.399819296798631,2.118062126701539,-1.7648187087929217,0.5125470711431025,0.7821127984027447
S01009768,0.02921058671004755,0.13048862516241655,-0.664684099938475,0.1436694216898184,-0.7753496958181052,-0.588519346846962,0.1568007490709966,0.47464006057091823,-0.9798753697661072,0.18157777867529326,1.2760207782667043,-0.8887544556945104,-0.5228566219101582,0.15360713251775923
S01009769,-1.1278136283415965,-1.1921339444449903,-0.5115624728753934,-0.8967297198882425,-0.3942456080431043,-1.0732900303135025,1.4561036946350512,-1.513185249463954,-0.7396392832732009,0.2193360569395351,2.7151843841416996,-1.7568685237042825,-0.7510233584457114,0.34514280706897543
S01009770,-1.0451690415521933,-0.9716968495104226,-0.8546683409241503,-0.5499300060288889,-1.1564537835931061,-1.6976680548011789,-1.8289439294862364,-1.7761502014070556,0.30661400473675904,-0.3279851273776283,3.672363557267155,-2.8438405428592826,-0.22136069882840792,0.7986289817131995
S01009771,-0.9625244547627901,-1.0819153969777064,-1.0191323107326453,-1.2435294337475962,-1.1564537835931061,-1.9637324682169175,-0.49193863706447444,-2.180053867787254,0.15389648402364656,0.5293432459465535,3.6418110832422728,-3.0626218896487933,-2.7069771759590946,2.915130294504336
